individual,substrate,dS,dL,predator,species,locality,morph
DAM1,GreenLeaf,4.285192653,25.4725326,bird,granulifera,DAM,green
DAM2,GreenLeaf,1.630459538,21.9552709,bird,granulifera,DAM,green
DAM3,GreenLeaf,1.967827377,22.8382952,bird,granulifera,DAM,green
DAM4,GreenLeaf,1.474032894,26.3585243,bird,granulifera,DAM,green
DAM5,GreenLeaf,2.661043585,20.2093994,bird,granulifera,DAM,green
DAM6,GreenLeaf,1.706472915,8.5726611,bird,granulifera,DAM,green
DAM7,GreenLeaf,1.286678979,16.9319634,bird,granulifera,DAM,green
DAM8,GreenLeaf,1.61216088,8.2292612,bird,granulifera,DAM,green
DAM1,LeafLitter,4.470250343,21.5968021,bird,granulifera,DAM,green
DAM2,LeafLitter,4.46761747,18.0795404,bird,granulifera,DAM,green
DAM3,LeafLitter,4.932327762,18.9625647,bird,granulifera,DAM,green
DAM4,LeafLitter,4.602367667,22.4827938,bird,granulifera,DAM,green
DAM5,LeafLitter,6.208730316,16.3336689,bird,granulifera,DAM,green
DAM6,LeafLitter,4.003130717,4.6969306,bird,granulifera,DAM,green
DAM7,LeafLitter,4.427116731,13.0562329,bird,granulifera,DAM,green
DAM8,LeafLitter,4.080250916,4.3535307,bird,granulifera,DAM,green
DAM1,trunk,4.079052418,19.5494974,bird,granulifera,DAM,green
DAM2,trunk,3.836324608,16.0322357,bird,granulifera,DAM,green
DAM3,trunk,4.332422661,16.91526,bird,granulifera,DAM,green
DAM4,trunk,3.960206844,20.4354891,bird,granulifera,DAM,green
DAM5,trunk,5.614220004,14.2863642,bird,granulifera,DAM,green
DAM6,trunk,3.382082971,2.6496259,bird,granulifera,DAM,green
DAM7,trunk,3.790832487,11.0089282,bird,granulifera,DAM,green
DAM8,trunk,3.454545033,2.306226,bird,granulifera,DAM,green
DAM1,GreenLeaf,2.364836712,13.523107,crab,granulifera,DAM,green
DAM2,GreenLeaf,1.204532648,11.6795233,crab,granulifera,DAM,green
DAM3,GreenLeaf,0.517271753,10.8062563,crab,granulifera,DAM,green
DAM4,GreenLeaf,0.602188524,13.4136553,crab,granulifera,DAM,green
DAM5,GreenLeaf,1.229893061,9.2698586,crab,granulifera,DAM,green
DAM6,GreenLeaf,0.065120044,4.0568087,crab,granulifera,DAM,green
DAM7,GreenLeaf,0.044634292,8.308389,crab,granulifera,DAM,green
DAM8,GreenLeaf,0.074880555,3.8839773,crab,granulifera,DAM,green
DAM1,LeafLitter,1.068617478,12.0253736,crab,granulifera,DAM,green
DAM2,LeafLitter,0.091686586,10.1817898,crab,granulifera,DAM,green
DAM3,LeafLitter,1.813490988,9.3085228,crab,granulifera,DAM,green
DAM4,LeafLitter,0.694030711,11.9159218,crab,granulifera,DAM,green
DAM5,LeafLitter,2.526112295,7.7721252,crab,granulifera,DAM,green
DAM6,LeafLitter,1.231099191,2.5590752,crab,granulifera,DAM,green
DAM7,LeafLitter,1.340853526,6.8106556,crab,granulifera,DAM,green
DAM8,LeafLitter,1.221338679,2.3862438,crab,granulifera,DAM,green
DAM1,trunk,1.226832484,10.9163731,crab,granulifera,DAM,green
DAM2,trunk,0.06652842,9.0727894,crab,granulifera,DAM,green
DAM3,trunk,1.655275982,8.1995223,crab,granulifera,DAM,green
DAM4,trunk,0.535815705,10.8069213,crab,granulifera,DAM,green
DAM5,trunk,2.36789729,6.6631247,crab,granulifera,DAM,green
DAM6,trunk,1.072884185,1.4500747,crab,granulifera,DAM,green
DAM7,trunk,1.18263852,5.7016551,crab,granulifera,DAM,green
DAM8,trunk,1.063123673,1.2772434,crab,granulifera,DAM,green
DAM1,GreenLeaf,4.189431441,13.1040138,lizard,granulifera,DAM,green
DAM2,GreenLeaf,1.746981547,11.3103481,lizard,granulifera,DAM,green
DAM3,GreenLeaf,2.753004205,11.2793688,lizard,granulifera,DAM,green
DAM4,GreenLeaf,1.659389072,13.2836773,lizard,granulifera,DAM,green
DAM5,GreenLeaf,3.825360218,9.9055493,lizard,granulifera,DAM,green
DAM6,GreenLeaf,1.910306295,4.5334741,lizard,granulifera,DAM,green
DAM7,GreenLeaf,1.657372253,8.5855548,lizard,granulifera,DAM,green
DAM8,GreenLeaf,1.773930567,4.1879963,lizard,granulifera,DAM,green
DAM1,LeafLitter,3.228504258,11.3710332,lizard,granulifera,DAM,green
DAM2,LeafLitter,3.314033812,9.5773675,lizard,granulifera,DAM,green
DAM3,LeafLitter,6.087209065,9.5463883,lizard,granulifera,DAM,green
DAM4,LeafLitter,4.5118945,11.5506968,lizard,granulifera,DAM,green
DAM5,LeafLitter,7.496060663,8.1725688,lizard,granulifera,DAM,green
DAM6,LeafLitter,4.762464144,2.8004936,lizard,granulifera,DAM,green
DAM7,LeafLitter,5.039837721,6.8525743,lizard,granulifera,DAM,green
DAM8,LeafLitter,4.787003784,2.4550158,lizard,granulifera,DAM,green
DAM1,trunk,2.979603948,10.3347809,lizard,granulifera,DAM,green
DAM2,trunk,2.716277129,8.5411152,lizard,granulifera,DAM,green
DAM3,trunk,5.509281584,8.510136,lizard,granulifera,DAM,green
DAM4,trunk,3.912244404,10.5144445,lizard,granulifera,DAM,green
DAM5,trunk,6.908480208,7.1363164,lizard,granulifera,DAM,green
DAM6,trunk,4.185895772,1.7642413,lizard,granulifera,DAM,green
DAM7,trunk,4.438455263,5.816322,lizard,granulifera,DAM,green
DAM8,trunk,4.199180782,1.4187635,lizard,granulifera,DAM,green
ESQ1,GreenLeaf,4.565754377,9.5184076,bird,granulifera,ESQ,green
ESQ2,GreenLeaf,3.057518694,3.0550071,bird,granulifera,ESQ,green
ESQ3,GreenLeaf,6.212053742,15.9159563,bird,granulifera,ESQ,green
ESQ4,GreenLeaf,4.329828073,7.8834416,bird,granulifera,ESQ,green
ESQ5,GreenLeaf,4.046214765,9.9027612,bird,granulifera,ESQ,green
ESQ6,GreenLeaf,13.48886915,15.4604854,bird,granulifera,ESQ,green
ESQ7,GreenLeaf,4.352679579,6.339868,bird,granulifera,ESQ,green
ESQ8,GreenLeaf,13.30334968,17.0265441,bird,granulifera,ESQ,green
ESQ1,LeafLitter,3.248595237,5.6426771,bird,granulifera,ESQ,green
ESQ2,LeafLitter,3.595131432,0.8207234,bird,granulifera,ESQ,green
ESQ3,LeafLitter,4.598406187,12.0402258,bird,granulifera,ESQ,green
ESQ4,LeafLitter,3.778078487,4.0077111,bird,granulifera,ESQ,green
ESQ5,LeafLitter,4.036808421,6.0270307,bird,granulifera,ESQ,green
ESQ6,LeafLitter,11.82554174,11.5847549,bird,granulifera,ESQ,green
ESQ7,LeafLitter,3.716635417,2.4641375,bird,granulifera,ESQ,green
ESQ8,LeafLitter,11.4596397,13.1508136,bird,granulifera,ESQ,green
ESQ1,trunk,2.998465832,3.5953724,bird,granulifera,ESQ,green
ESQ2,trunk,3.077643105,2.8680281,bird,granulifera,ESQ,green
ESQ3,trunk,4.523315933,9.9929211,bird,granulifera,ESQ,green
ESQ4,trunk,3.445749113,1.9604064,bird,granulifera,ESQ,green
ESQ5,trunk,3.647198239,3.979726,bird,granulifera,ESQ,green
ESQ6,trunk,11.91054578,9.5374502,bird,granulifera,ESQ,green
ESQ7,trunk,3.390983691,0.4168328,bird,granulifera,ESQ,green
ESQ8,trunk,11.57229378,11.1035089,bird,granulifera,ESQ,green
ESQ1,GreenLeaf,2.101448648,5.1492212,crab,granulifera,ESQ,green
ESQ2,GreenLeaf,1.312194094,1.8226397,crab,granulifera,ESQ,green
ESQ3,GreenLeaf,3.603815676,8.8997649,crab,granulifera,ESQ,green
ESQ4,GreenLeaf,2.434676912,4.6711112,crab,granulifera,ESQ,green
ESQ5,GreenLeaf,2.445219987,5.8664592,crab,granulifera,ESQ,green
ESQ6,GreenLeaf,8.473385455,9.7801746,crab,granulifera,ESQ,green
ESQ7,GreenLeaf,2.295168702,3.8526228,crab,granulifera,ESQ,green
ESQ8,GreenLeaf,8.53391092,10.3877284,crab,granulifera,ESQ,green
ESQ1,LeafLitter,0.805229414,3.6514878,crab,granulifera,ESQ,green
ESQ2,LeafLitter,0.01597486,0.3249062,crab,granulifera,ESQ,green
ESQ3,LeafLitter,2.307596441,7.4020315,crab,granulifera,ESQ,green
ESQ4,LeafLitter,1.138457678,3.1733778,crab,granulifera,ESQ,green
ESQ5,LeafLitter,1.149000753,4.3687258,crab,granulifera,ESQ,green
ESQ6,LeafLitter,7.177166221,8.2824411,crab,granulifera,ESQ,green
ESQ7,LeafLitter,0.998949467,2.3548893,crab,granulifera,ESQ,green
ESQ8,LeafLitter,7.237691686,8.889995,crab,granulifera,ESQ,green
ESQ1,trunk,0.963444419,2.5424873,crab,granulifera,ESQ,green
ESQ2,trunk,0.174189865,0.7840943,crab,granulifera,ESQ,green
ESQ3,trunk,2.465811447,6.293031,crab,granulifera,ESQ,green
ESQ4,trunk,1.296672684,2.0643773,crab,granulifera,ESQ,green
ESQ5,trunk,1.307215759,3.2597253,crab,granulifera,ESQ,green
ESQ6,trunk,7.335381226,7.1734406,crab,granulifera,ESQ,green
ESQ7,trunk,1.157164473,1.2458888,crab,granulifera,ESQ,green
ESQ8,trunk,7.395906692,7.7809945,crab,granulifera,ESQ,green
ESQ1,GreenLeaf,4.468108721,5.3244165,lizard,granulifera,ESQ,green
ESQ2,GreenLeaf,2.836788492,1.9391948,lizard,granulifera,ESQ,green
ESQ3,GreenLeaf,6.738663394,8.4107704,lizard,granulifera,ESQ,green
ESQ4,GreenLeaf,4.442272568,4.3706029,lizard,granulifera,ESQ,green
ESQ5,GreenLeaf,4.314338235,5.4354078,lizard,granulifera,ESQ,green
ESQ6,GreenLeaf,15.08854351,8.7204182,lizard,granulifera,ESQ,green
ESQ7,GreenLeaf,4.329213953,3.7375828,lizard,granulifera,ESQ,green
ESQ8,GreenLeaf,15.22571988,9.3456703,lizard,granulifera,ESQ,green
ESQ1,LeafLitter,2.325402861,3.5914359,lizard,granulifera,ESQ,green
ESQ2,LeafLitter,3.195905152,0.2062142,lizard,granulifera,ESQ,green
ESQ3,LeafLitter,3.808949166,6.6777899,lizard,granulifera,ESQ,green
ESQ4,LeafLitter,2.592951475,2.6376223,lizard,granulifera,ESQ,green
ESQ5,LeafLitter,2.559113922,3.7024273,lizard,granulifera,ESQ,green
ESQ6,LeafLitter,12.04435617,6.9874377,lizard,granulifera,ESQ,green
ESQ7,LeafLitter,2.541232376,2.0046023,lizard,granulifera,ESQ,green
ESQ8,LeafLitter,12.09542121,7.6126898,lizard,granulifera,ESQ,green
ESQ1,trunk,2.261151118,2.5551836,lizard,granulifera,ESQ,green
ESQ2,trunk,2.726263492,0.8300381,lizard,granulifera,ESQ,green
ESQ3,trunk,4.062800991,5.6415375,lizard,granulifera,ESQ,green
ESQ4,trunk,2.475452591,1.60137,lizard,granulifera,ESQ,green
ESQ5,trunk,2.412309893,2.666175,lizard,granulifera,ESQ,green
ESQ6,trunk,12.41658431,5.9511854,lizard,granulifera,ESQ,green
ESQ7,trunk,2.401840134,0.96835,lizard,granulifera,ESQ,green
ESQ8,trunk,12.48555343,6.5764375,lizard,granulifera,ESQ,green
PAL1,GreenLeaf,15.00716466,5.797884,bird,granulifera,PAL,red
PAL2,GreenLeaf,14.39503959,6.1012254,bird,granulifera,PAL,red
PAL3,GreenLeaf,9.422681795,5.1317668,bird,granulifera,PAL,red
PAL4,GreenLeaf,16.05770493,11.1723688,bird,granulifera,PAL,red
PAL5,GreenLeaf,6.69327355,1.1633514,bird,granulifera,PAL,red
PAL6,GreenLeaf,12.35400523,17.543388,bird,granulifera,PAL,red
PAL7,GreenLeaf,12.33762188,0.4530781,bird,granulifera,PAL,red
PAL8,GreenLeaf,14.47642704,15.7132863,bird,granulifera,PAL,red
PAL1,LeafLitter,10.69815661,1.9221535,bird,granulifera,PAL,red
PAL2,LeafLitter,10.10397021,2.2254949,bird,granulifera,PAL,red
PAL3,LeafLitter,5.091052481,1.2560363,bird,granulifera,PAL,red
PAL4,LeafLitter,11.68466325,7.2966383,bird,granulifera,PAL,red
