individual,substrate,dS,dL,predator,species,locality,morph
DAM1,GreenLeaf,4.151778671,25.4725326,bird,granulifera,DAM,green
DAM2,GreenLeaf,1.586252587,21.9552709,bird,granulifera,DAM,green
DAM3,GreenLeaf,1.928832714,22.8382952,bird,granulifera,DAM,green
DAM4,GreenLeaf,1.40073041,26.3585243,bird,granulifera,DAM,green
DAM5,GreenLeaf,2.590852598,20.2093994,bird,granulifera,DAM,green
DAM7,GreenLeaf,1.298376376,16.9319634,bird,granulifera,DAM,green
DAM1,LeafLitter,4.299884766,21.5968021,bird,granulifera,DAM,green
DAM2,LeafLitter,4.384093884,18.0795404,bird,granulifera,DAM,green
DAM3,LeafLitter,4.842864738,18.9625647,bird,granulifera,DAM,green
DAM4,LeafLitter,4.533604774,22.4827938,bird,granulifera,DAM,green
DAM5,LeafLitter,6.122126533,16.3336689,bird,granulifera,DAM,green
DAM7,LeafLitter,4.33267263,13.0562329,bird,granulifera,DAM,green
DAM1,trunk,3.899616262,19.5494974,bird,granulifera,DAM,green
DAM2,trunk,3.740804309,16.0322357,bird,granulifera,DAM,green
DAM3,trunk,4.237299319,16.91526,bird,granulifera,DAM,green
DAM4,trunk,3.881219644,20.4354891,bird,granulifera,DAM,green
DAM5,trunk,5.520408182,14.2863642,bird,granulifera,DAM,green
DAM7,trunk,3.690214637,11.0089282,bird,granulifera,DAM,green
DAM1,GreenLeaf,2.364836712,13.523107,crab,granulifera,DAM,green
DAM2,GreenLeaf,1.204532648,11.6795233,crab,granulifera,DAM,green
DAM3,GreenLeaf,0.517271753,10.8062563,crab,granulifera,DAM,green
DAM4,GreenLeaf,0.602188524,13.4136553,crab,granulifera,DAM,green
DAM5,GreenLeaf,1.229893061,9.2698586,crab,granulifera,DAM,green
DAM7,GreenLeaf,0.044634292,8.308389,crab,granulifera,DAM,green
DAM1,LeafLitter,1.068617478,12.0253736,crab,granulifera,DAM,green
DAM2,LeafLitter,0.091686586,10.1817898,crab,granulifera,DAM,green
DAM3,LeafLitter,1.813490988,9.3085228,crab,granulifera,DAM,green
DAM4,LeafLitter,0.694030711,11.9159218,crab,granulifera,DAM,green
DAM5,LeafLitter,2.526112295,7.7721252,crab,granulifera,DAM,green
DAM7,LeafLitter,1.340853526,6.8106556,crab,granulifera,DAM,green
DAM1,trunk,1.226832484,10.9163731,crab,granulifera,DAM,green
DAM2,trunk,0.06652842,9.0727894,crab,granulifera,DAM,green
DAM3,trunk,1.655275982,8.1995223,crab,granulifera,DAM,green
DAM4,trunk,0.535815705,10.8069213,crab,granulifera,DAM,green
DAM5,trunk,2.36789729,6.6631247,crab,granulifera,DAM,green
DAM7,trunk,1.18263852,5.7016551,crab,granulifera,DAM,green
DAM1,GreenLeaf,1.796930907,12.3246295,lizard,granulifera,DAM,green
DAM2,GreenLeaf,0.758974981,10.8629545,lizard,granulifera,DAM,green
DAM3,GreenLeaf,1.775738795,11.3539709,lizard,granulifera,DAM,green
DAM4,GreenLeaf,0.775450568,13.0695662,lizard,granulifera,DAM,green
DAM5,GreenLeaf,2.374057531,10.2456337,lizard,granulifera,DAM,green
DAM7,GreenLeaf,1.037617013,8.4059793,lizard,granulifera,DAM,green
DAM1,LeafLitter,1.231820998,10.9282468,lizard,granulifera,DAM,green
DAM2,LeafLitter,1.893811875,9.4665718,lizard,granulifera,DAM,green
DAM3,LeafLitter,3.66989002,9.9575882,lizard,granulifera,DAM,green
DAM4,LeafLitter,2.692448633,11.6731835,lizard,granulifera,DAM,green
DAM5,LeafLitter,4.50609595,8.849251,lizard,granulifera,DAM,green
DAM7,LeafLitter,2.954925084,7.0095966,lizard,granulifera,DAM,green
DAM1,trunk,0.993185208,9.8227449,lizard,granulifera,DAM,green
DAM2,trunk,1.508626266,8.3610699,lizard,granulifera,DAM,green
DAM3,trunk,3.314196775,8.8520863,lizard,granulifera,DAM,green
DAM4,trunk,2.314437109,10.5676816,lizard,granulifera,DAM,green
DAM5,trunk,4.136886569,7.7437491,lizard,granulifera,DAM,green
DAM7,trunk,2.583677023,5.9040947,lizard,granulifera,DAM,green
ESQ1,GreenLeaf,4.608229668,9.5184076,bird,granulifera,ESQ,green
ESQ2,GreenLeaf,3.065678515,3.0550071,bird,granulifera,ESQ,green
ESQ3,GreenLeaf,6.100480327,15.9159563,bird,granulifera,ESQ,green
ESQ4,GreenLeaf,4.257546872,7.8834416,bird,granulifera,ESQ,green
ESQ5,GreenLeaf,3.959788564,9.9027612,bird,granulifera,ESQ,green
ESQ7,GreenLeaf,4.313419389,6.339868,bird,granulifera,ESQ,green
ESQ1,LeafLitter,3.051405253,5.6426771,bird,granulifera,ESQ,green
