,model,aicc,weights
1,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:morph,2851.099224,0.300204959
2,dL ~ 1 + predator + morph + substrate + morph:predator + substrate:predator,2851.882724,0.202900385
3,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator,2853.280679,0.100860427
4,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator + species:morph,2853.333111,0.09825066
5,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:morph + species:substrate,2854.892102,0.045061412
6,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:morph,2855.148337,0.039642779
7,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator,2855.501184,0.033231065
8,dL ~ 1 + predator + morph + substrate + morph:predator + substrate:predator + substrate:morph,2855.905137,0.027153573
9,dL ~ 1 + predator + morph + substrate + species + substrate:predator + species:morph,2856.260241,0.022736164
10,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:substrate,2857.060176,0.015241004
11,dL ~ 1 + predator + morph + substrate + substrate:predator,2857.07019,0.015164884
12,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator + species:morph + species:substrate,2857.151447,0.014561107
13,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph,2857.316411,0.013408274
14,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator + species:morph,2857.408569,0.012804448
15,dL ~ 1 + predator + morph + substrate + species + substrate:predator,2858.454952,0.007588252
16,dL ~ 1 + predator + morph + substrate + species + substrate:predator + species:predator + species:morph,2858.934558,0.005970307
17,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:morph + species:substrate,2858.996581,0.005787999
18,dL ~ 1 + predator + substrate + substrate:predator,2859.157964,0.005339305
19,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator + species:substrate,2859.30601,0.004958346
20,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator,2859.563133,0.004360169
21,dL ~ 1 + predator + morph + substrate + species + substrate:predator + species:morph + species:substrate,2860.033392,0.003446576
22,dL ~ 1 + predator + substrate + species + substrate:predator,2860.213376,0.003149958
23,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph + species:morph,2860.285495,0.003038397
24,dL ~ 1 + predator + morph + substrate + substrate:predator + substrate:morph,2861.068995,0.00205357
25,dL ~ 1 + predator + morph + substrate + species + substrate:predator + species:predator,2861.116013,0.002005855
26,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:substrate,2861.151145,0.001970929
27,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator + species:morph + species:substrate,2861.282628,0.001845524
28,dL ~ 1 + predator + morph + substrate + species + substrate:predator + species:substrate,2862.214847,0.001157953
29,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph,2862.46695,0.001020816
30,dL ~ 1 + predator + morph + substrate + species + substrate:predator + species:predator + species:morph + species:substrate,2862.733281,0.000893541
31,dL ~ 1 + predator + substrate + species + substrate:predator + species:predator,2862.861245,0.000838161
32,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph + species:predator + species:morph,2862.986052,0.000787455
33,dL ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator + species:substrate,2863.423552,0.000632738
34,dL ~ 1 + predator + substrate + species + substrate:predator + species:substrate,2863.960079,0.000483859
35,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph + species:morph + species:substrate,2864.113299,0.000448175
36,dL ~ 1 + predator + morph + substrate + species + substrate:predator + species:predator + species:substrate,2864.901355,0.00030222
37,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph + species:predator,2865.154126,0.000266339
38,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph + species:substrate,2866.281373,0.000151585
39,dL ~ 1 + predator + substrate + species + substrate:predator + species:predator + species:substrate,2866.633268,0.000127129
40,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph + species:predator + species:morph + species:substrate,2866.839759,0.000114658
41,dL ~ 1 + predator + morph + substrate + species + substrate:predator + substrate:morph + species:predator + species:substrate,2868.994322,3.90E-05
42,dL ~ 1 + predator + morph + substrate + species + morph:predator + species:morph,2893.171337,2.20E-10
43,dL ~ 1 + predator + morph + substrate + morph:predator,2894.007484,1.45E-10
