,model,aicc,weights
1,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator,1662.095971,0.318859711
2,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator + species:substrate,1662.772413,0.227358956
3,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator + species:morph,1663.440479,0.162795871
4,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:predator + species:morph + species:substrate,1664.132197,0.115196395
5,dS ~ 1 + predator + morph + substrate + morph:predator + substrate:predator + substrate:morph,1664.813631,0.081934586
6,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph,1666.434342,0.036436304
7,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:substrate,1667.14008,0.025602671
8,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:morph,1667.763737,0.018743898
9,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + substrate:morph + species:morph + species:substrate,1668.484588,0.013071608
10,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator,1715.21434,9.31306099376763e-13
11,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator + species:substrate,1716.236226,5.58717887354091e-13
12,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator + species:morph,1716.52878,4.82686671389944e-13
13,dS ~ 1 + predator + morph + substrate + morph:predator + substrate:morph,1717.066795,3.68839003455395e-13
14,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:predator + species:morph + species:substrate,1717.565621,2.87420778904986e-13
15,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph,1718.657911,1.66467852022621e-13
16,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:substrate,1719.697202,9.90036773611269e-14
17,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:morph,1719.957555,8.69193392156961e-14
18,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:morph + species:morph + species:substrate,1721.011642,5.13126194628801e-14
19,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator + species:substrate,1859.002895,5.56934890047733e-44
20,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator + species:morph + species:substrate,1860.347403,2.84346680979575e-44
21,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:substrate,1860.644348,2.45113640806314e-44
22,dS ~ 1 + predator + morph + substrate + morph:predator + substrate:predator,1861.409708,1.67175112282875e-44
23,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator,1861.419103,1.66391603709908e-44
24,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:morph + species:substrate,1861.973742,1.260936067296e-44
25,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:predator + species:morph,1862.748498,8.55966945465966e-45
26,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator,1863.015543,7.4897762817665e-45
27,dS ~ 1 + predator + morph + substrate + species + morph:predator + substrate:predator + species:morph,1864.329984,3.88187641562718e-45
28,dS ~ 1 + predator + morph + substrate + species + morph:predator + species:predator + species:substrate,1893.473364,1.82237216421166e-51
29,dS ~ 1 + predator + morph + substrate + species + morph:predator + species:substrate,1894.708383,9.82779938235752e-52
30,dS ~ 1 + predator + morph + substrate + species + morph:predator + species:predator + species:morph + species:substrate,1894.787805,9.44517333845094e-52
31,dS ~ 1 + predator + morph + substrate + morph:predator,1895.046503,8.29916272799629e-52
