wl,ALM.trunk,ALM.trunk,ALM.trunk,ALM.GreenLeaf,ALM.GreenLeaf,ALM.GreenLeaf,ALM.GreenLeaf,ALM.LeafLitter,ALM.LeafLitter,ALM.LeafLitter,ALM.LeafLitter,CAY.GreenLeaf,CAY.GreenLeaf,CAY.GreenLeaf,CAY.GreenLeaf,CAY.LeafLitter,CAY.LeafLitter,CAY.LeafLitter,CAY.LeafLitter,CAY.trunk,CAY.trunk,CAY.trunk,CAY.trunk,BAS.GreenLeaf,BAS.GreenLeaf,BAS.GreenLeaf,BAS.GreenLeaf,BAS.GreenLeaf,BAS.LeafLitter,BAS.LeafLitter,BAS.LeafLitter,BAS.LeafLitter,BAS.trunk,BAS.trunk,BAS.trunk,BAS.trunk,POP.trunk,POP.trunk,POP.trunk,POP.trunk,POP.LeafLitter,POP.LeafLitter,POP.LeafLitter,POP.LeafLitter,POP.LeafLitter,POP.GreenLeaf,POP.GreenLeaf,POP.GreenLeaf,POP.GreenLeaf,HIT.trunk,HIT.trunk,HIT.trunk,HIT.trunk,HIT.LeafLitter,HIT.LeafLitter,HIT.LeafLitter,HIT.LeafLitter,HIT.GreenLeaf,HIT.GreenLeaf,HIT.GreenLeaf,HIT.GreenLeaf
187.72,-43.85,-6.94,55.87,-161.11,-38.67,61.54,30.77,-56.61,59.11,-37.93,5,51.6,60.65,-27.6,257.38,242.24,-31.05,161.24,-47.92,-39.79,167.12,158.56,281.58,160.65,-91.86,160.65,-91.86,248.08,58.824,106.84,96.07,179.55,-191.83,-33.07,80.06,-182.68,24.94,-15.65,17.4,-14.69,-8.44,76.62,51.33,20.72,-28.73,-33.333,17.3,30.48,32.44,-214.33,96.6,-14.69,-249.68,408.72,247.54,446.07,378.33,30.77,61.54,-69.57,-117.39
188.2,-65.68,1.44,47.27,-41.03,-261.11,-233.33,166.67,-36.11,54.56,-34.98,14.91,100.2,51.81,-12.29,203.52,234.63,-51.19,137.27,-19.25,-9.8,124.6,179.27,248.03,-2290.76,1178.9,-2290.76,1178.9,-4136.09,90,-1054.37,-1145.12,-2239.86,3885.77,1179.35,-466.66,3364.25,-445.92,-17.73,-1.46,19.18,-19.82,60.9,36,2.11,-35.26,44.444,19.07,20.41,47.14,-104.33,114.83,19.18,-139.17,-818.73,-239.52,-637.34,-733.74,166.67,-233.33,-353.85,-484.62
188.68,-30.3,23.23,39.73,-64.87,-107.69,10,10,-42.42,56.23,-20.88,29.63,134.85,59.1,28.78,216.59,241.61,-49.29,138.57,-28.75,39.41,159.78,168.91,270.37,626.49,-174.3,626.49,-174.3,797.66,100,222.78,348.72,658.76,-681.22,-12.88,9.61,-658.72,113.03,11.55,19.69,22.23,1.57,45.67,43.22,24.07,-13.91,-69.231,25.2,21,56.96,-48.25,135.57,22.23,-103.27,-414.89,-124.56,-470.99,-505.42,10,10,-300,-305
189.16,-13.48,24.71,55.54,300,-83.78,150,0,-8.4,68.25,-5.23,39.26,86.66,34.36,59.11,249.2,304.67,-98.56,144.18,-13.58,14.21,173.33,170.93,265.67,229.78,-40.4,229.78,-40.4,271.14,183.333,71.03,172.14,331.43,-277.85,-63.34,-45.31,-276.29,71.05,8.6,14.34,-0.31,0.31,39.3,77.65,28.62,9.67,-127.778,23.33,30.7,56.77,-65.59,154.22,-0.31,-135.28,-907.41,-258.74,-1124.95,-1289.38,0,150,-962.5,-912.5
189.64,18.36,32.74,69.21,-68.16,289.47,175,-50,5.52,81.32,-8.29,49.55,67.19,70.28,31.26,109.18,193.18,-40.01,118.66,23.96,27.82,101.28,96.3,167.29,700.17,-916.57,700.17,-916.57,1162.54,154.545,-13.98,428.61,1203.74,-1346.99,-570.45,-112.28,-2030.02,-13.86,6.34,5.11,9.64,8.21,45.5,86.96,15.45,-0.65,-600,23.61,28.22,63.71,-141.3,248.71,9.64,-221.3,558.84,201.56,579.8,735.3,-50,175,1850,1350
190.12,13.83,17.72,69.79,-98.61,-165.71,33.82,-75,5.18,74.56,-18.3,43.46,78.01,48.86,56.54,154.45,152.65,30.67,152.78,55.35,66.41,93.54,95.32,140.09,-897.92,1253.27,-897.92,1253.27,-1151.91,60.606,327,-102.03,-1307,1818.91,462.81,255.86,1906.8,521.05,14.59,11.32,-77.99,18.64,48.43,93.92,30.18,2.24,161.111,17.89,18.44,56.52,-411.03,386.61,-77.99,-432.92,210.4,41.67,213.04,285.16,-75,33.82,-256.96,-273.04
190.59,37.39,49.13,74.79,-127.69,-193.98,-4.17,-325,34.45,79.56,15.26,72.74,181.07,124.39,154.01,199.59,135.23,5.06,229.94,71.95,139.63,173.5,118.21,192.66,48.3,235.74,48.3,235.74,-81.77,-50,27.03,94.88,-38.32,289.11,136.17,130.35,301.72,212.24,13.84,2.66,2763.48,31.32,23.94,97.77,59.91,15.01,-175.758,3.37,4.86,65.59,3165.64,-7120.89,2763.48,7002.26,153.38,-13.66,82.29,202.62,-325,-4.17,-310,-320.5
191.07,74.15,83.88,98.33,-204.97,-224.62,27.78,-211.11,73.34,90.13,52.42,110,325.49,215.22,267.62,266.79,114.69,44.14,170.19,-42.05,163.94,90.88,138.85,201.55,25.44,161.43,25.44,161.43,-108.72,-142.857,-12.28,67.04,24.32,190.41,48.33,138.99,238.63,211.65,43.29,-10.59,-81.83,51.29,-17.57,104.44,98.67,36.47,-1428.571,-1.88,-13.18,53.57,330.73,691.8,-81.83,-354.14,16.15,-47.32,-59.85,94.15,-211.11,27.78,-355.25,-356.35
191.55,103.56,100.62,120.39,-323.76,-313.48,-52.38,-500,100.98,86.27,92,130.41,233.58,215.19,191,199.41,84.08,96.2,20.17,-69.59,170.04,-16.28,160.28,69.87,1.93,78.44,1.93,78.44,-45.27,15.217,-10.02,55.5,47.89,54.81,16.14,48.95,120.7,102.11,97.01,11.5,-72.65,70.24,-83.15,-40.99,519.13,75.75,-11500,-3.78,-16.38,79.84,198.36,186.59,-72.65,-81.42,-29.29,-71.43,-69.37,60.37,-500,-52.38,-605.46,-603.64
192.03,125.08,238.01,225.63,-331,-468.32,366.67,955.56,175.68,153.23,177.66,224.1,78.69,220.1,154.05,72.52,44.6,30.06,-12.73,49.83,246.83,77,188.55,65.85,-14.31,-1.16,-14.31,-1.16,-64.7,41.071,-50.61,54.67,12.46,-3.33,-65.72,-2.88,39.67,30.56,134.92,42.42,-1039.99,108.69,-125.38,14.93,-269.26,109.2,-5350,55.88,34.07,56.39,643.51,663.63,-1039.99,11.44,-626.63,-699.11,-494.65,19.29,955.56,366.67,-554.87,-585.84
