wl,PAL.LeafLitter.1,PAL.LeafLitter.2,PAL.LeafLitter,PAL.LeafLitter,PAL.trunk.1,PAL.trunk.2,PAL.trunk,PAL.trunk,PAL.GreenLeaf,PAL.GreenLeaf,SAN.GreenLeaf,SAN.GreenLeaf,SAN.trunk,SAN.trunk,SAN.trunk,SAN.trunk,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,SAN.LeafLitter,DAM.trunk,DAM.trunk,DAM.trunk,DAM.trunk,DAM.GreenLeaf,DAM.GreenLeaf,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,DAM.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.LeafLitter,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.GreenLeaf,ESQ.trunk,ESQ.trunk,ESQ.trunk,ESQ.trunk
187.723,59.16,50.25,47.65,-69.87,-39.51,-52.33,-96.32,103.39,-23.49,7.86,284.615,119.048,2291.8,2291.8,2928.48,2522.36,29.358,58.716,51.33,20.72,58.824,-26.471,122.95,80.328,76.22,-4.348,197.368,161.905,183.35,104.59,-90.99,408.72,446.07,52.33,50.85,83.9,60.38,88.98,88.56,45.98,103.6,-205.26,-36.84,113.13,64.62
188.202,11.03,51.74,106.49,-23.54,-38.12,-65.75,-120.75,121.69,-57.48,-56.44,-233.333,150,-1147.78,-1147.78,-1358.31,-1321.97,9.302,-18.605,36,2.11,90,50,30.44,252.174,66.16,-84.211,420,137.5,100.76,60.46,-39.03,-818.73,-637.34,52.81,59.17,89.58,58.44,92.92,81.88,41.36,120.52,56.52,104.35,122.29,75.52
188.68,-6.27,32.8,85.95,3.94,-8.58,-53.11,-59.37,78.9,-44.49,-59.13,-100,-400,-547.98,-547.98,-677.89,-651.14,600,850,43.22,24.07,100,178.571,22.22,35.556,57.28,295.238,7.143,-660,75.52,18.24,-25.52,-414.89,-470.99,57.27,45.46,92.73,68.18,90.91,78.18,39.09,120.91,-133.33,-316.67,130.9,84.54
189.159,37.15,22.97,59.79,32.98,1,-27.99,-27.28,84.1,-90.27,-86.07,166.667,-43.75,-645.4,-645.4,-951.5,-808.81,550,87.5,77.65,28.62,183.333,83.333,-140,-60,54.14,168.75,96,-25,85.6,-29.75,-94.48,-907.41,-1124.95,64.17,50,115.24,70.58,110.37,111.89,24.85,143.14,154.76,166.67,160.05,111.43
189.637,25.58,32.75,31.74,40.13,3.94,-10.91,-19.1,75.93,-200.35,-138.69,-160,18.519,-240.44,-240.44,-369.19,-322.49,164,44,86.96,15.45,154.545,72.727,75.51,30.612,143.22,-500,-2000,-85.185,105.57,-42.63,-247.22,558.84,579.8,61.03,60.78,112.74,63.48,106.86,97.55,33.09,127.2,23.21,28.57,147.54,95.83
190.115,32.16,5.81,16.16,21.93,-17.39,-0.57,-2.32,67.17,-503.12,-238.29,-1950,-59.524,-237.67,-237.67,-370.22,-364.32,-96.117,-61.165,93.92,30.18,60.606,-242.424,92.41,-11.034,140.49,-464.615,-23.214,-133.333,92.93,-190.12,-605.91,210.4,213.04,74.39,55.88,105.39,56.5,109.31,93.38,40.32,135.41,1280,1946.67,138.97,96.2
190.594,53.5,2.18,13.07,39.43,11.08,53.38,2.21,72.28,-6501.23,-2694.87,-264,100,-1528.14,-1528.14,-2268.7,-2669.96,350,342.5,97.77,59.91,-50,-1475,53.9,-43.506,-1209.53,-1439.13,100.926,-571.429,-1035.85,-4202.98,-5019.08,153.38,82.29,91.4,60.42,103.12,45.05,107.29,69.27,10.68,116.91,-504,-1224,195.3,108.59
191.072,49.57,-20.33,3.9,39.03,0.1,72.43,-31.13,44.24,2190.85,1377.15,-640,207.5,267.86,267.86,493.85,794.01,250.769,243.077,104.44,98.67,-142.857,-1071.429,62.91,-3.974,244.15,-2707.692,66.327,162.5,984.01,1741.89,1325.59,16.15,-59.85,248.4,487.49,293.73,320.31,568.72,-134.39,64.07,76.48,-215.69,-586.28,896.82,201.53
191.55,-2.2,-47.74,-49.49,25.18,-47.6,38.96,-66.79,-24.37,-489.07,-379.76,-447.826,194.915,-115.18,-115.18,-3.34,231.1,148.515,158.416,-40.99,519.13,15.217,-30.435,97.94,-20.619,-118.84,-1050,105.263,111.864,-292.45,-576.03,-154.91,-29.29,-69.37,-17.89,-43.18,64.78,59.95,-57.95,97.16,65.62,95.19,-119.7,-384.85,-3.96,36.09
192.028,67.6,-18.72,13.19,101.28,18.78,68.77,-1.35,31.62,-150.94,-31.07,-275.61,368.966,-1688.04,-1688.04,-1273.11,-164.45,112.821,125.641,14.93,-269.26,41.071,35.714,175.93,-112.963,-166.35,-1042.424,490.476,189.655,-224.49,-259.37,-10.97,-626.63,-494.65,6.66,8.07,39.52,71.58,-44.35,62.5,59.48,138.52,-99.12,-205.26,-2.81,35.29
